#{"t_start": 1666530487.3859344, "env_id": null}
r,l,t
14.386436,151,2256.830237
19.918024,151,2265.622212
13.955817,151,2265.804986
5.4066997,151,2265.804986
7.869092,151,2265.804986
16.375645,151,2274.585864
12.213253,151,2274.770641
9.063184,151,2274.770641
25.217714,151,2274.770641
13.584754,151,2283.571997
14.452819,151,2283.768805
16.517769,151,2283.768805
17.159916,151,2283.768805
15.128286,151,2292.667785
22.443502,151,2292.865536
6.2156425,151,2292.865536
16.014332,151,2292.865536
12.409448,151,2301.758333
4.223488,151,2301.911663
12.643512,151,2301.911663
9.4151945,151,2301.911663
9.808395,151,2310.725242
11.938368,151,2310.894069
11.3731575,151,2310.894069
13.042533,151,2310.894069
9.261343,151,2319.493764
10.530832,151,2319.693025
15.778171,151,2319.693025
19.441282,151,2319.693025
13.54641,151,2328.454537
8.2858,151,2328.607874
-34.790985,151,2328.607874
9.969001,151,2328.607874
25.375814,151,2337.325171
11.487181,151,2337.493507
13.398232,151,2337.493507
-23.670057,151,2337.493507
13.111475,151,2346.336506
11.508013,151,2346.541809
13.294069,151,2346.542816
10.687991,151,2346.542816
14.9633045,151,2362.322551
11.962272,151,2362.475874
12.497364,151,2362.475874
9.291196,151,2362.475874
21.795748,151,2371.308838
12.380737,151,2371.506631
15.753312,151,2371.506631
18.172441,151,2371.506631
14.495889,151,2380.312467
13.701401,151,2380.480254
11.688265,151,2380.480254
8.089701,151,2380.480254
13.443812,151,2389.190585
10.381283,151,2389.357916
12.270519,151,2389.357916
12.641522,151,2389.357916
4.4749026,151,2398.105752
15.234006,151,2398.274083
13.539898,151,2398.274083
14.215973,151,2398.274083
7.222375,151,2407.065002
17.117992,151,2407.248819
14.14241,151,2407.248819
12.527444,151,2407.248819
13.152702,151,2416.019001
17.549074,151,2416.202352
8.274323,151,2416.202352
15.422371,151,2416.202352
-26.919155,151,2425.070157
10.6916275,151,2425.278912
16.017551,151,2425.279909
25.458948,151,2425.279909
11.1061535,151,2434.100303
14.360909,151,2434.224688
5.7183805,151,2434.224688
13.9085655,151,2434.224688
16.215916,151,2443.073812
24.42791,151,2443.257623
14.622983,151,2443.257623
15.753866,151,2443.257623
13.449153,151,2452.331598
14.747571,151,2452.561853
19.723526,151,2452.561853
15.319077,151,2452.561853
6.9139385,151,2461.437446
9.881253,151,2461.637275
8.837208,151,2461.637275
12.513583,151,2461.637275
10.648999,151,2470.444293
9.360736,151,2470.628095
-26.80185,151,2470.628095
18.900274,151,2470.628095
8.763136,151,2479.317433
15.668263,151,2479.484769
12.3595705,151,2479.484769
18.750353,151,2479.484769
17.175346,150,2506.111722
15.96961,150,2506.333528
12.150068,150,2506.334526
9.389206,150,2506.334526
11.591183,151,2515.60178
14.253846,151,2515.784892
14.023228,151,2515.784892
12.302877,151,2515.784892
10.007392,151,2524.698152
15.514513,151,2524.880936
11.925376,151,2524.880936
17.419533,151,2524.880936
16.780872,151,2533.6591
10.194472,151,2533.873928
16.999815,151,2533.873928
10.373174,151,2533.873928
13.485939,151,2542.740899
14.340292,151,2542.910249
12.529541,151,2542.910249
9.308003,151,2542.910249
9.718829,151,2551.761754
12.975027,151,2551.98153
12.88727,151,2551.98153
9.747886,151,2551.98153
10.113999,151,2560.754021
15.36538,151,2560.938851
5.0371194,151,2560.938851
10.115602,151,2560.938851
11.392722,151,2569.675899
11.179605,151,2569.860172
10.3271265,151,2569.860172
12.74412,151,2569.860172
-22.667582,151,2578.574505
18.261486,151,2578.757854
13.467745,151,2578.757854
12.867294,151,2578.757854
14.364873,151,2587.461626
12.828475,151,2587.645026
10.160506,151,2587.645026
11.472465,151,2587.645026
4.839324,151,2596.660447
15.93314,151,2596.844272
15.592529,151,2596.844272
13.579794,151,2596.844272
11.959464,151,2605.627249
14.85151,151,2605.823044
15.623623,151,2605.823044
7.013347,151,2605.823044
7.7435107,151,2614.711725
8.642336,151,2614.864094
26.316624,151,2614.864094
14.091183,151,2614.864094
6.87905,141,2733.425398
13.439171,140,2733.518316
-36.05127,141,2733.548769
13.371787,141,2733.548769
14.504723,151,2742.187909
18.841822,151,2742.263841
9.328418,151,2742.370196
13.21344,151,2742.370196
13.123705,151,2751.223202
-26.343756,151,2751.302617
13.960499,151,2751.330572
14.719149,151,2751.330572
16.604385,151,2760.235312
17.962118,151,2760.314255
15.116583,151,2760.404144
9.664662,151,2760.404144
-15.086641,151,2769.078285
25.212528,151,2769.169674
9.524016,151,2769.215117
8.778008,151,2769.215117
9.950278,151,2778.037269
10.546247,151,2778.128177
-42.21426,151,2778.243564
8.806468,151,2778.243564
22.173494,151,2787.053358
9.765256,151,2787.145242
10.030227,151,2787.237663
10.453446,151,2787.237663
15.325636,151,2796.077604
11.22753,151,2796.108056
16.154337,151,2796.223426
8.211444,151,2796.223426
15.283184,151,2805.112266
11.80903,151,2805.173703
12.848166,151,2805.26558
8.853705,151,2805.26558
11.213144,151,2814.128435
9.65845,151,2814.218814
15.593861,151,2814.326208
12.352055,151,2814.326208
15.214176,151,2823.143476
12.558706,151,2823.250356
13.862347,151,2823.281323
-34.738533,151,2823.28236
10.168563,151,2832.060077
6.438841,151,2832.153502
13.613201,151,2832.25884
14.642628,151,2832.25884
10.0029745,151,2841.081388
17.594885,151,2841.172318
14.008296,151,2841.26421
12.727567,151,2841.26421
16.458427,151,2850.164297
11.512282,151,2850.271176
14.343465,151,2850.364084
9.672224,151,2850.364084
8.318477,151,2866.197785
13.412224,151,2866.28966
9.095035,151,2866.380551
15.807063,151,2866.380551
9.169382,151,2875.31734
14.474878,151,2875.379267
8.387649,151,2875.484638
13.732361,151,2875.484638
-29.876451,151,2884.293894
17.65946,151,2884.386813
12.951749,151,2884.478744
23.776997,151,2884.478744
19.189579,151,2893.330416
25.356743,151,2893.424826
12.759488,151,2893.498737
9.891108,151,2893.498737
4.8463345,151,2902.298329
6.8790092,151,2902.390232
9.795548,151,2902.482639
15.460543,151,2902.482639
13.282107,151,2911.250082
17.535349,151,2911.343496
8.18099,151,2911.434391
13.425988,151,2911.434391
7.6164217,151,2920.172066
17.061947,151,2920.248962
12.239659,151,2920.341367
15.361948,151,2920.341367
11.632169,151,2929.201616
9.2539425,151,2929.231581
9.52595,151,2929.3385
15.783217,151,2929.3385
11.8913555,151,2938.214761
16.68611,151,2938.307157
